,neighborhood,type of region,code,population (count),age 15-25 (%),age 25-45 (%),age 45-65 (%),age >65 (%),migrants (%),Western migrants (%),non-Western migrants (%),education low (%),education secondary (%),education high (%),property value (x1000 euro),income per inhabitant (x1000 euro),40% with lowest income (%),20% with highest income (%)
345,De Omval,Buurt     ,BU03635807,725,5.52,44.14,24.14,18.62,54.48,35.86,18.62,4.14,8.28,71.72,571.0,60.7,18.1,55.8
346,Amstelkwartier Zuid,Buurt     ,BU03635808,30,16.67,16.67,16.67,33.33,33.33,33.33,0.0,,,,,,,
347,Amstelkwartier West,Buurt     ,BU03635809,875,32.57,62.86,2.86,1.71,50.29,29.14,21.14,3.43,26.29,67.43,208.0,30.4,43.5,22.1
348,Prinses Irenebuurt e.o.,Wijk      ,WK036359  ,1345,10.04,23.42,24.16,23.42,44.61,30.11,14.5,5.95,10.41,53.53,923.0,60.0,25.7,50.1
349,Prinses Irenebuurt,Buurt     ,BU03635900,1345,10.04,23.42,24.16,23.05,44.98,30.48,14.5,5.95,10.41,53.53,923.0,60.0,25.7,50.1
350,Beatrixpark,Buurt     ,BU03635901,0,,,,,,,,,,,,,,
351,Volewijck,Wijk      ,WK036360  ,9565,10.35,32.51,27.76,12.81,53.01,12.7,40.3,26.87,26.66,23.52,288.0,21.2,52.7,10.5
352,Van der Pekbuurt,Buurt     ,BU03636000,4730,12.26,35.2,27.06,9.09,61.21,13.0,48.2,28.33,24.95,24.74,265.0,20.5,54.6,8.9
353,Bloemenbuurt Zuid,Buurt     ,BU03636001,2425,9.48,28.87,27.63,15.67,51.55,11.34,40.21,26.39,27.22,20.21,322.0,20.1,55.2,10.0
354,Bloemenbuurt Noord,Buurt     ,BU03636002,2405,7.69,30.77,29.52,17.26,39.09,13.93,25.16,24.53,29.52,24.12,299.0,23.5,46.8,14.0
355,IJplein/Vogelbuurt,Wijk      ,WK036361  ,8255,11.14,34.4,26.95,12.36,58.93,14.72,44.22,24.83,24.95,29.8,330.0,22.2,50.7,12.4
356,IJplein e.o.,Buurt     ,BU03636100,2480,9.68,31.45,31.05,15.52,58.87,14.31,44.56,23.79,29.03,28.23,317.0,23.2,49.4,12.0
357,Vogelbuurt Zuid,Buurt     ,BU03636101,4295,12.46,35.04,24.91,11.18,62.86,14.78,48.08,28.17,23.05,27.94,334.0,21.1,52.6,11.5
358,Vogelbuurt Noord,Buurt     ,BU03636102,1305,8.81,39.85,24.14,10.73,50.19,14.18,36.02,15.33,25.29,37.55,339.0,22.5,49.1,12.7
359,Vliegenbos,Buurt     ,BU03636103,180,13.89,19.44,36.11,8.33,25.0,16.67,8.33,33.33,22.22,27.78,,34.8,36.8,35.3
