,neighborhood,type of region,code,population (count),age 15-25 (%),age 25-45 (%),age 45-65 (%),age >65 (%),migrants (%),Western migrants (%),non-Western migrants (%),education low (%),education secondary (%),education high (%),property value (x1000 euro),income per inhabitant (x1000 euro),40% with lowest income (%),20% with highest income (%)
552,K-buurt Zuidwest,Buurt     ,BU03639407,1445,17.99,27.34,26.99,7.27,84.78,6.92,77.85,33.22,31.83,13.15,306.0,21.9,48.2,17.0
553,Grunder/Koningshoef,Buurt     ,BU03639408,1745,14.61,32.09,26.93,6.02,87.39,8.88,78.51,24.07,32.66,22.35,317.0,23.9,40.6,18.7
554,G-buurt Oost,Buurt     ,BU03639409,3195,13.46,23.47,24.57,30.52,52.9,20.34,32.55,19.72,26.29,30.67,260.0,30.2,37.9,19.7
555,Kantershof,Buurt     ,BU03639410,2190,11.64,21.92,31.74,21.46,69.41,13.24,56.16,28.77,29.22,22.37,243.0,23.7,45.2,12.5
556,Gooise Kant,Buurt     ,BU03639411,585,10.26,47.86,14.53,0.85,79.49,10.26,69.23,11.97,29.06,37.61,389.0,27.4,25.9,27.3
557,G-buurt Noord,Buurt     ,BU03639412,1780,12.92,28.65,33.99,6.18,90.45,4.21,86.24,42.13,30.9,7.3,151.0,16.7,62.6,2.9
558,Bijlmermuseum Zuid,Buurt     ,BU03639413,3155,16.96,33.28,24.72,7.45,82.25,14.1,68.15,29.48,25.67,23.14,233.0,18.9,54.3,7.4
559,Nellestein,Wijk      ,WK036395  ,3035,8.57,32.29,26.19,20.76,54.7,20.43,34.27,13.84,29.98,36.24,242.0,29.7,31.9,21.5
560,L-buurt,Buurt     ,BU03639500,2980,8.39,32.72,25.84,20.81,55.37,20.64,34.73,13.76,29.87,36.24,237.0,29.6,32.1,21.4
561,Gaasperpark,Buurt     ,BU03639501,20,25.0,0.0,50.0,0.0,0.0,0.0,0.0,,,,,,,
562,Gaasperplas,Buurt     ,BU03639502,35,28.57,28.57,42.86,28.57,14.29,0.0,14.29,,,,486.0,,,
563,Holendrecht/Reigersbos,Wijk      ,WK036396  ,18385,12.86,26.43,26.68,16.73,72.89,9.9,62.99,27.74,31.93,16.43,247.0,21.3,48.8,10.2
564,Holendrecht West,Buurt     ,BU03639600,2940,15.65,21.6,23.47,17.18,79.76,6.29,73.47,32.31,30.61,6.12,215.0,15.7,63.2,3.2
565,Reigersbos Noord,Buurt     ,BU03639601,4320,14.7,25.93,26.85,11.69,83.68,6.48,77.2,31.02,34.49,9.03,235.0,18.2,56.4,6.1
566,Holendrecht Oost,Buurt     ,BU03639602,2535,10.26,23.67,24.85,27.02,56.41,13.41,43.0,16.17,32.35,26.82,312.0,25.8,38.4,16.3
567,Gaasperdam Noord,Buurt     ,BU03639603,2020,11.14,32.92,30.45,9.9,75.25,11.88,63.37,27.23,36.14,18.81,246.0,23.4,44.3,12.8
568,Gaasperdam Zuid,Buurt     ,BU03639604,1510,12.91,29.14,28.15,17.55,71.19,12.25,58.94,31.79,27.15,23.18,212.0,23.0,47.0,10.5
569,Reigersbos Midden,Buurt     ,BU03639605,2495,13.23,28.06,26.65,17.03,73.55,10.02,63.53,31.66,28.86,18.04,234.0,22.5,45.0,10.4
570,Reigersbos Zuid,Buurt     ,BU03639606,2570,10.51,26.85,27.82,18.87,60.89,12.84,48.05,21.4,32.68,23.35,286.0,25.3,39.7,15.9
571,Gein,Wijk      ,WK036397  ,11325,12.23,26.93,30.33,15.19,64.55,12.01,52.54,23.22,32.23,24.72,254.0,24.4,41.6,14.6
572,Gein Noordwest,Buurt     ,BU03639700,3000,14.0,29.0,27.67,13.33,75.0,11.33,63.67,30.67,32.67,14.33,214.0,20.9,49.1,9.5
573,Gein Zuidwest,Buurt     ,BU03639701,1685,13.35,33.53,27.89,6.82,81.9,10.39,71.51,24.93,24.33,31.45,218.0,20.4,49.7,9.3
574,Gein Noordoost,Buurt     ,BU03639702,3265,12.25,21.44,34.3,18.38,48.55,14.7,33.84,16.54,37.37,28.18,318.0,29.5,31.1,22.4
575,Gein Zuidoost,Buurt     ,BU03639703,3375,10.07,27.11,30.37,17.93,62.22,10.96,51.26,23.11,31.41,25.48,258.0,24.4,41.8,13.8
576,Driemond,Wijk      ,WK036398  ,1625,11.69,21.54,30.46,17.54,21.23,9.85,11.38,16.62,36.92,21.54,357.0,28.5,36.8,22.6
577,Dorp Driemond,Buurt     ,BU03639800,1490,11.74,21.48,30.54,18.79,21.81,10.07,11.74,16.78,37.58,20.81,333.0,28.4,37.0,21.5
578,Landelijk gebied Driemond,Buurt     ,BU03639801,135,14.81,22.22,29.63,7.41,11.11,7.41,3.7,14.81,22.22,37.04,758.0,29.6,,
