lat,lon
52.3366339,4.7808973
52.3361963,4.7801372
52.3361612,4.7800886
52.3361209,4.7800207
52.3360428,4.7798988
52.3359515,4.7797554
52.3359098,4.7796952
52.3358292,4.7795781
52.3357965,4.7795058
52.3357381,4.7794384
52.3391925,4.7784363
52.3356826,4.7793927
52.3356272,4.7793469
52.3367574,4.7810667
52.3364436,4.7812601
52.3822121,4.7981779
52.3790639,4.8013039
52.3782617,4.8008299
52.3753146,4.7937905
52.3791655,4.8036671
52.3782367,4.8196875
52.3764726,4.8187167
52.3773195,4.8193584
52.3776694,4.8194598
52.3779412,4.8196147
52.3779981,4.8196245
52.380495,4.8239472
52.3809672,4.8217614
52.3803858,4.8222574
52.3803632,4.8224292
52.3804257,4.8236192
52.3800387,4.8228522
52.3807343,4.8231738
52.3805524,4.8230913
52.3634979,4.8274664
52.3565601,4.8276419
52.3564074,4.8276586
52.3561195,4.8290918
52.3560777,4.8289949
52.3550343,4.8112211
52.3546903,4.8106971
52.3547179,4.8108289
52.3547546,4.8109898
52.3566194,4.8268632
52.3543732,4.8270235
52.3542564,4.8270251
52.3541215,4.8270268
52.3558624,4.8264324
52.3540995,4.8112038
52.3540719,4.8110721
52.3556159,4.8258014
52.3539981,4.8106767
52.3539889,4.8106328
52.3539521,4.8104572
52.3539338,4.8103987
52.3552581,4.825985
52.3551773,4.8260154
52.3550608,4.8260902
52.3557605,4.8258025
52.3554023,4.8270022
52.3547132,4.8117243
52.3548477,4.8116492
52.3616672,4.8038532
52.3585447,4.8031016
52.35965,4.806713
52.3595307,4.8062155
52.3596286,4.8057413
52.3610125,4.7986943
52.3597279,4.8060955
52.3597463,4.8061824
52.3597534,4.8063492
52.3597774,4.8064825
52.3584527,4.8026624
52.3625817,4.8015803
52.3590508,4.8036528
52.3590969,4.8039017
52.3592997,4.8043283
52.359326,4.8044368
52.3593705,4.8046908
52.3593888,4.8047655
52.3594069,4.8048588
52.3594165,4.8049251
52.3595443,4.8053198
52.3595411,4.8028389
52.3624845,4.8010363
52.3586806,4.8014997
52.3586532,4.8013973
52.3584235,4.8022077
52.3584049,4.8020758
52.3583501,4.8019151
52.3583227,4.8018127
52.3588905,4.8025677
52.3585428,4.800885
52.3583221,4.8016953
52.3585151,4.8007532
52.3589821,4.8042996
52.3583129,4.8016513
52.3589267,4.8040067
52.3589082,4.8039042
52.3582945,4.8015782
52.3593365,4.8051023
52.3584044,4.8001675
52.3594011,4.8054391
52.3594657,4.8057759
52.3582852,4.8015049
52.3582667,4.8014024
52.3592691,4.8060134
52.3582392,4.8013
52.3582299,4.8012267
52.3589185,4.8060033
52.3581839,4.8010218
52.3581745,4.8009339
52.3585966,4.8050114
52.3581561,4.800846
52.3560441,4.7916931
52.3573905,4.7968927
52.3572339,4.7961461
52.3560623,4.7973073
52.3572245,4.7960582
52.3520116,4.7987828
52.357197,4.7959411
52.3571324,4.7956043
52.3570034,4.7949748
52.3569297,4.7946235
52.351412,4.7958443
52.3566835,4.7934597
52.3565247,4.7927059
52.3563601,4.7921503
52.3563405,4.7918277
52.356331,4.791725
52.3562942,4.7915641
52.3517967,4.7999311
52.3568283,4.7923202
52.3567825,4.7921447
52.3602221,4.7897639
52.360965,4.7827986
52.3604067,4.7820967
52.3597485,4.7828862
52.3499011,4.7875439
52.3458024,4.8109153
52.3459443,4.8105319
52.34576,4.8114441
52.3459131,4.8115009
52.3455981,4.8114169
52.3225706,4.9722553
52.3220988,4.9709836
52.3221598,4.9711885
52.3223986,4.9719048
52.3224649,4.9720861
52.3229286,4.9718119
52.2964096,4.9755046
52.2967416,4.9753549
52.2962929,4.9755496
52.2960534,4.9757811
52.3000507,4.9630829
52.3001784,4.9636241
52.3002238,4.9637263
52.3000735,4.9638747
52.3001068,4.9636834
52.3162149,4.9784454
52.3515898,4.7967712
52.3559494,4.7926137
52.3604325,4.8235707
52.3581035,4.8328791
52.3604792,4.7990354
52.3519187,4.8004179
52.352021,4.8010557
52.3596082,4.8055245
52.3500949,4.7883824
52.338633,4.7788206
52.3592805,4.8042334
52.3790731,4.8349724
52.3832603,4.8329081
52.3799901,4.822151
52.3784195,4.8009831
52.3775326,4.8016427
52.3163016,4.9779783
52.3800774,4.8224685
52.379614,4.8314395
52.382942,4.8345355
52.3829895,4.8340688
52.3829094,4.8347152
52.3798142,4.8303498
52.3797652,4.8306327
52.3517258,4.7994152
52.3518118,4.7978445
52.3561292,4.8302255
52.3561229,4.8297427
52.3561136,4.8295244
52.3561159,4.829482
52.3561127,4.8293085
